Session: untitled,,,,,,,,,,,
Training Data: remaxmatlab    Observations: 351,,,,,,,,,,,
"Predictors: 15    Predictor Names: EmlakTipi, m2_Br_t_, m2_Net_, OdaSay_s_, BinaYa__, Bulundu_uKat, KatSay_s_, Is_tma, BanyoSay_s_, BalkonSay_s_, E_yaDurumu, Kullan_mDurumu, Site__erisindeMi, x_l_e, Mahalle",,,,,,,,,,,
Response Name: Fiyat,,,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,,
Test Data: remaxmatlab    Observations: 39,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Favorite,Model Number,Model Type,Status,RMSE (Validation),MSE (Validation),RSquared (Validation),MAE (Validation),MAE (Test),MSE (Test),RMSE (Test),RSquared (Test)
0,1,Tree,Tested,0.0053468317631556,2.85886099034897e-05,0.99999987626072,0.000569800569803058,5.71622521396747e-15,7.96344970219262e-29,8.92381628127374e-15,1
0,2.1,Linear Regression,Tested,5.78667884692066,33.485652077399,0.858977489652198,4.6274109651644,6.05828358358874,51.9829408348032,7.2099196136159,0.784256483550163
0,2.2,Linear Regression,Tested,4.81325843491578e-14,2.31674567612879e-27,1,3.62694559950858e-14,3.86604328797249e-14,2.95062465196458e-27,5.43196525390634e-14,1
0,2.3,Linear Regression,Tested,7.61592323208151,58.0022866769589,0.755727376782416,3.88508768676666,6.80356839937297,130.267216796156,11.4134664671236,0.459355185020242
0,2.4,Stepwise Linear Regression,Tested,3.45681937881999e-14,1.19496002177854e-27,1,2.40719793397905e-14,2.43015484279062e-14,1.16324114315715e-27,3.41063211612914e-14,1
0,2.5,Tree,Tested,0.0053468317631556,2.85886099034897e-05,0.99999987626072,0.000569800569803058,5.71622521396747e-15,7.96344970219262e-29,8.92381628127374e-15,1
0,2.6,Tree,Tested,2.54023908977539,6.45281463322289,0.972070463052976,1.88513653974152,1.25944731596906,4.09862240231397,2.02450547105064,0.981572061392127
0,2.7,Tree,Tested,7.58921747945736,57.5962219505011,0.750707884789793,5.61408613779049,4.69806576421484,39.2092022221736,6.26172517938736,0.823710334719794
0,2.8,SVM,Tested,8.31735370133207,69.1783725930623,0.70866006305328,5.20731413389101,7.15622235067806,100.233149896095,10.0116507078551,0.584004831659135
0,2.9,SVM,Tested,1.82319229066459,3.3240301287388,0.986001076755412,1.39269688673431,2.07707632478383,9.78745483253348,3.1284908234696,0.959379367754989
0,2.10,SVM,Tested,1.30015880902889,1.69041292869543,0.992880942733981,1.28805418699093,1.30793288998206,1.72409786341124,1.31304907121221,0.992844519186822
0,2.11,SVM,Tested,1.31295867621726,1.72386048545418,0.992740080659435,1.30067352632623,1.24577180053995,1.63823067847303,1.27993385706959,0.993200891645339
0,2.12,SVM,Tested,1.24078413627342,1.53954527282778,0.993516311443885,1.18997297849194,1.24167430718505,1.63713101863588,1.27950420813528,0.993205455536422
0,2.13,SVM,Tested,7.80785063117519,60.9625314787428,0.743260510309974,5.18983273585806,6.45257981051099,79.1780971981922,8.89820752726032,0.671389097249606
0,2.14,Ensemble,Tested,1.51743366732589,2.3026049347341,0.990033699516495,1.21411891361854,1.22345280410344,1.86276326101412,1.36483085436039,0.99162477446188
0,2.15,Ensemble,Tested,1.36655282666613,1.8674666280692,0.991917096468655,0.845645861011878,0.570724076047552,0.831418640373168,0.911821605563921,0.996261833816751
0,2.16,Gaussian Process Regression,Tested,0.000294518675788284,8.67412503880846e-08,0.999999999634695,0.000223598653721161,0.000199475066295572,6.81432248764758e-08,0.000261042572919583,0.999999999717187
0,2.17,Gaussian Process Regression,Tested,0.000285413451318562,8.14608381935729e-08,0.999999999656933,0.000220670055923521,0.000199440986601395,6.50137180150241e-08,0.000254977877501214,0.999999999730175
0,2.18,Gaussian Process Regression,Tested,0.000253612019377147,6.43190563725546e-08,0.999999999729125,0.000201140307014668,0.000184120800378058,5.01352433370352e-08,0.000223909006824279,0.999999999791925
0,2.19,Gaussian Process Regression,Tested,0.000286878699774998,8.22993883845932e-08,0.999999999653402,0.000222298995196361,0.000198561691034074,6.43176672653996e-08,0.000253609280716222,0.999999999733064
0,2.20,Neural Network,Tested,0.000851651112966242,7.25309618216639e-07,0.999999996945409,0.000646040106183539,0.000934123749683701,1.461247723479e-06,0.00120882079874521,0.99999999393542
0,2.21,Neural Network,Tested,0.000977748154304754,9.55991453246352e-07,0.999999995973908,0.000719708940889548,0.000442998000981909,3.26122519882385e-07,0.000571071378973229,0.999999998646502
0,2.22,Neural Network,Tested,0.000943462313729334,8.90121137427509e-07,0.999999996251316,0.000774917838188224,0.000595255617168049,6.61298534760936e-07,0.000813202640650494,0.999999997255429
0,2.23,Neural Network,Tested,0.000980116332369557,9.60628024977551e-07,0.999999995954381,0.000705344837585291,0.000717493645694992,8.70791466918428e-07,0.000933162079661635,0.999999996385976
0,2.24,Neural Network,Tested,0.0675749526765872,0.004566374229243,0.999980769030404,0.00957515982465853,0.000753104093215088,7.07994500096119e-07,0.000841424090513291,0.999999997061628
0,2.25,Kernel,Tested,9.4415959535566,89.1437341502164,0.624577322174189,6.23663300380096,6.63245143118173,83.9938294628467,9.16481475332953,0.65140248247998
0,2.26,Kernel,Tested,2.63359442477009,6.93581959418012,0.970790274944327,2.16532516201503,2.14103188709974,5.95242317281655,2.43975883497049,0.975295805006839
